PublishDate,Score
2016-12-30,113
2016-12-31,30
2017-01-03,18
2017-01-04,80
2017-01-05,145
2017-01-06,58
2017-01-07,20
2017-01-08,38
2017-01-09,75
2017-01-10,100
2017-01-11,62
2017-01-12,69
2017-01-13,68
2017-01-14,7
2017-01-15,1
2017-01-16,16
2017-01-17,15
2017-01-18,34
2017-01-19,59
2017-01-20,54
2017-01-23,114
2017-01-24,147
2017-01-25,40
2017-01-26,30
2017-01-30,0
2017-01-31,-4
2017-02-01,-4
2017-02-02,134
2017-02-03,72
2017-02-05,22
2017-02-06,38
2017-02-07,114
2017-02-08,106
2017-02-09,167
2017-02-10,44
2017-02-11,30
2017-02-12,14
2017-02-13,98
2017-02-14,93
2017-02-15,68
2017-02-16,64
2017-02-17,64
2017-02-18,112
2017-02-20,43
2017-02-21,97
2017-02-22,79
2017-02-23,161
2017-02-24,150
2017-02-25,14
2017-03-01,2
2017-03-02,148
2017-03-03,130
2017-03-04,22
2017-03-05,0
2017-03-06,33
2017-03-07,81
2017-03-08,154
2017-03-09,-12
2017-03-10,-13
2017-03-11,39
2017-03-12,36
2017-03-13,35
2017-03-14,108
2017-03-15,142
2017-03-16,105
2017-03-17,143
2017-03-18,31
2017-03-20,133
2017-03-21,113
2017-03-22,61
2017-03-23,64
2017-03-24,51
2017-03-26,13
2017-03-27,33
2017-03-28,86
2017-03-29,110
2017-03-30,157
2017-03-31,124
2017-04-01,26
2017-04-04,25
2017-04-05,79
2017-04-06,18
2017-04-07,70
2017-04-08,10
2017-04-09,6
2017-04-10,73
2017-04-11,7
2017-04-12,34
2017-04-13,19
2017-04-14,-25
2017-04-15,11
2017-04-16,13
2017-04-17,23
2017-04-18,51
2017-04-19,-41
2017-04-20,6
2017-04-21,97
2017-04-22,48
2017-04-23,5
2017-04-24,78
2017-04-25,148
2017-04-26,296
2017-05-08,25
2017-05-09,104
2017-05-10,57
2017-05-11,80
2017-05-12,72
2017-05-13,7
2017-05-14,7
2017-05-15,23
2017-05-16,63
2017-05-17,42
2017-05-18,2
2017-05-19,61
2017-05-20,12
2017-05-21,5
2017-05-22,40
2017-05-23,36
2017-05-24,71
2017-05-25,126
2017-05-26,90
2017-05-29,22
2017-05-30,23
2017-05-31,82
2017-06-01,108
2017-06-02,294
2017-06-03,196
2017-06-04,22
2017-06-05,110
2017-06-06,81
2017-06-07,78
2017-06-08,69
2017-06-09,112
2017-06-10,15
2017-06-11,11
2017-06-12,96
2017-06-13,68
2017-06-14,22
2017-06-15,30
2017-06-16,27
2017-06-17,7
2017-06-18,35
2017-06-19,110
2017-06-20,172
2017-06-21,45
2017-06-22,65
2017-06-23,84
2017-06-24,37
2017-06-25,21
2017-06-26,181
2017-06-27,139
2017-06-28,48
2017-06-29,146
2017-06-30,52
2017-07-03,190
2017-07-04,118
2017-07-05,47
2017-07-06,27
2017-07-07,20
2017-07-09,19
2017-07-10,53
2017-07-11,144
2017-07-12,110
2017-07-13,77
2017-07-14,85
2017-07-15,12
2017-07-17,137
2017-07-18,81
2017-07-19,52
2017-07-20,73
2017-07-21,39
2017-07-23,1
2017-07-24,53
2017-07-25,80
2017-07-26,99
2017-07-27,77
2017-07-28,28
2017-07-29,38
2017-07-31,88
2017-08-01,152
2017-08-02,190
2017-08-03,126
2017-08-04,240
2017-08-06,15
2017-08-07,131
2017-08-08,85
2017-08-09,40
2017-08-10,3
2017-08-11,1
2017-08-14,25
2017-08-15,64
2017-08-16,35
2017-08-17,18
2017-08-18,0
2017-08-21,58
2017-08-22,115
2017-08-23,107
2017-08-24,30
2017-08-25,84
2017-08-26,38
2017-08-28,42
2017-08-29,84
2017-08-30,236
2017-08-31,56
2017-09-01,242
2017-09-02,26
2017-09-04,188
2017-09-05,22
2017-09-06,-10
2017-09-07,95
2017-09-08,173
2017-09-09,19
2017-09-11,25
2017-09-12,229
2017-09-13,43
2017-09-14,76
2017-09-15,18
2017-09-18,82
2017-09-19,61
2017-09-20,9
2017-09-21,134
2017-09-22,14
2017-09-23,19
2017-09-25,13
2017-09-26,-5
2017-09-27,45
2017-09-28,30
2017-09-29,135
2017-09-30,246
2017-10-02,136
2017-10-03,236
2017-10-04,64
2017-10-05,138
2017-10-06,111
2017-10-07,23
2017-10-08,16
2017-10-09,24
2017-10-10,6
2017-10-11,166
2017-10-12,184
2017-10-13,143
2017-10-15,19
2017-10-16,135
2017-10-17,116
2017-10-18,109
2017-10-19,91
2017-10-20,85
2017-10-21,19
2017-10-23,172
2017-10-24,85
2017-10-25,22
2017-10-26,29
2017-10-27,45
2017-10-28,9
